,day_of_week,schedule,language,comment,church_name,church_address
0,6.0,8:00 AM - 9:00 AM,Kapampangan,Livestream,Archdiocesan Shrine of Christ our Lord of the Holy Sepulcher (Apung Mamacalulu),"C. Dayrit St., Lourdes Sur, Angeles City, Pampanga"
1,3.0,5:30 PM - 6:30 PM,English,,Archdiocesan Shrine of Christ our Lord of the Holy Sepulcher (Apung Mamacalulu),"C. Dayrit St., Lourdes Sur, Angeles City, Pampanga"
2,1.0,5:00 AM - 6:00 AM,Kapampangan,,Archdiocesan Shrine of Christ our Lord of the Holy Sepulcher (Apung Mamacalulu),"C. Dayrit St., Lourdes Sur, Angeles City, Pampanga"
3,1.0,6:30 AM - 7:30 AM,Kapampangan,FB Live,Archdiocesan Shrine of Christ our Lord of the Holy Sepulcher (Apung Mamacalulu),"C. Dayrit St., Lourdes Sur, Angeles City, Pampanga"
4,1.0,8:00 AM - 9:00 AM,English,FB Live,Archdiocesan Shrine of Christ our Lord of the Holy Sepulcher (Apung Mamacalulu),"C. Dayrit St., Lourdes Sur, Angeles City, Pampanga"
5,1.0,9:30 AM - 10:30 AM,English,,Archdiocesan Shrine of Christ our Lord of the Holy Sepulcher (Apung Mamacalulu),"C. Dayrit St., Lourdes Sur, Angeles City, Pampanga"
6,1.0,11:00 AM - 12:00 PM,Tagalog,,Archdiocesan Shrine of Christ our Lord of the Holy Sepulcher (Apung Mamacalulu),"C. Dayrit St., Lourdes Sur, Angeles City, Pampanga"
7,1.0,12:30 PM - 1:30 PM,English,,Archdiocesan Shrine of Christ our Lord of the Holy Sepulcher (Apung Mamacalulu),"C. Dayrit St., Lourdes Sur, Angeles City, Pampanga"
8,1.0,2:00 PM - 3:00 PM,Tagalog,FB Live,Archdiocesan Shrine of Christ our Lord of the Holy Sepulcher (Apung Mamacalulu),"C. Dayrit St., Lourdes Sur, Angeles City, Pampanga"
9,1.0,3:30 PM - 4:30 PM,English,,Archdiocesan Shrine of Christ our Lord of the Holy Sepulcher (Apung Mamacalulu),"C. Dayrit St., Lourdes Sur, Angeles City, Pampanga"
10,1.0,5:00 PM - 6:00 PM,Kapampangan,FB Live,Archdiocesan Shrine of Christ our Lord of the Holy Sepulcher (Apung Mamacalulu),"C. Dayrit St., Lourdes Sur, Angeles City, Pampanga"
11,1.0,6:30 PM - 7:30 PM,Kapampangan,FB Live,Archdiocesan Shrine of Christ our Lord of the Holy Sepulcher (Apung Mamacalulu),"C. Dayrit St., Lourdes Sur, Angeles City, Pampanga"
0,6.0,8:30 AM - 9:30 AM,English,,Christ the King Parish,"Pulung Cacutud, Angeles City, Pampanga"
1,4.0,6:30 AM - 7:30 AM,Kapampangan,,Christ the King Parish,"Pulung Cacutud, Angeles City, Pampanga"
2,3.0,6:30 AM - 7:30 AM,Kapampangan,,Christ the King Parish,"Pulung Cacutud, Angeles City, Pampanga"
3,2.0,6:30 AM - 7:30 AM,Kapampangan,,Christ the King Parish,"Pulung Cacutud, Angeles City, Pampanga"
4,1.0,6:30 AM - 7:30 AM,Kapampangan,,Christ the King Parish,"Pulung Cacutud, Angeles City, Pampanga"
5,0.0,6:30 AM - 07:30 AM,Kapampangan,,Christ the King Parish,"Pulung Cacutud, Angeles City, Pampanga"
6,6.0,6:00 PM - 7:00 PM,English,,Christ the King Parish,"Pulung Cacutud, Angeles City, Pampanga"
0,6.0,7:00 AM - 8:00 AM,,,Holy Cross Parish,"Sapangbato, Angeles City, Pampanga"
1,5.0,6:00 PM - 7:00 PM,,,Holy Cross Parish,"Sapangbato, Angeles City, Pampanga"
2,4.0,6:00 PM - 7:00 PM,,,Holy Cross Parish,"Sapangbato, Angeles City, Pampanga"
3,3.0,6:00 PM - 7:00 PM,,,Holy Cross Parish,"Sapangbato, Angeles City, Pampanga"
4,2.0,6:00 PM - 7:00 PM,,,Holy Cross Parish,"Sapangbato, Angeles City, Pampanga"
5,1.0,6:00 PM - 7:00 PM,,,Holy Cross Parish,"Sapangbato, Angeles City, Pampanga"
6,6.0,6:00 PM - 7:00 PM,,,Holy Cross Parish,"Sapangbato, Angeles City, Pampanga"
0,6.0,5:30 AM - 6:30 AM,Kapampangan,,Holy Rosary Parish (Pisamban Maragul),"Sto. Rosario St., Angeles City, Pampanga"
1,5.0,6:30 AM - 7:30 AM,English,Livestream,Holy Rosary Parish (Pisamban Maragul),"Sto. Rosario St., Angeles City, Pampanga"
2,4.0,6:30 AM - 7:30 AM,English,Livestream,Holy Rosary Parish (Pisamban Maragul),"Sto. Rosario St., Angeles City, Pampanga"
3,3.0,6:30 AM - 7:30 AM,English,Livestream,Holy Rosary Parish (Pisamban Maragul),"Sto. Rosario St., Angeles City, Pampanga"
4,2.0,6:30 AM - 7:30 AM,English,Livestream,Holy Rosary Parish (Pisamban Maragul),"Sto. Rosario St., Angeles City, Pampanga"
5,1.0,6:30 AM - 7:30 AM,English,Livestream,Holy Rosary Parish (Pisamban Maragul),"Sto. Rosario St., Angeles City, Pampanga"
6,0.0,6:30 AM - 07:30 AM,Kapampangan,,Holy Rosary Parish (Pisamban Maragul),"Sto. Rosario St., Angeles City, Pampanga"
7,6.0,7:00 AM - 8:00 AM,Kapampangan,Livestream,Holy Rosary Parish (Pisamban Maragul),"Sto. Rosario St., Angeles City, Pampanga"
8,3.0,5:30 PM - 6:30 PM,Kapampangan,,Holy Rosary Parish (Pisamban Maragul),"Sto. Rosario St., Angeles City, Pampanga"
9,1.0,5:30 PM - 6:00 PM,Kapampangan,,Holy Rosary Parish (Pisamban Maragul),"Sto. Rosario St., Angeles City, Pampanga"
10,6.0,8:30 AM - 9:30 AM,English,,Holy Rosary Parish (Pisamban Maragul),"Sto. Rosario St., Angeles City, Pampanga"
11,6.0,10:00 AM - 11:00 AM,English,Livestream,Holy Rosary Parish (Pisamban Maragul),"Sto. Rosario St., Angeles City, Pampanga"
12,6.0,2:00 PM - 3:00 PM,Kapampangan,,Holy Rosary Parish (Pisamban Maragul),"Sto. Rosario St., Angeles City, Pampanga"
13,6.0,3:30 PM - 4:30 PM,English,,Holy Rosary Parish (Pisamban Maragul),"Sto. Rosario St., Angeles City, Pampanga"
14,6.0,5:00 PM - 6:00 PM,Tagalog,Livestream,Holy Rosary Parish (Pisamban Maragul),"Sto. Rosario St., Angeles City, Pampanga"
15,6.0,6:30 PM - 7:30 PM,English,,Holy Rosary Parish (Pisamban Maragul),"Sto. Rosario St., Angeles City, Pampanga"
0,6.0,6:30 AM - 7:30 AM,,,Holy Spirit Parish,"254 Astoria Avenue, Angeles City, Pampanga"
1,3.0,6:30 AM - 7:30 AM,Kapampangan,,Holy Spirit Parish,"254 Astoria Avenue, Angeles City, Pampanga"
2,1.0,6:30 AM - 7:30 AM,Kapampangan,,Holy Spirit Parish,"254 Astoria Avenue, Angeles City, Pampanga"
3,0.0,6:30 AM - 07:30 AM,Kapampangan,,Holy Spirit Parish,"254 Astoria Avenue, Angeles City, Pampanga"
4,6.0,8:30 AM - 9:30 AM,,,Holy Spirit Parish,"254 Astoria Avenue, Angeles City, Pampanga"
5,0.0,5:30 PM - 06:30 PM,,Anticipated Mass,Holy Spirit Parish,"254 Astoria Avenue, Angeles City, Pampanga"
0,6.0,7:00 AM - 8:00 AM,Kapampangan,Facebook Live also,Immaculate Conception Parish,"Balibago, Angeles City, Pampanga"
1,5.0,7:00 AM - 8:00 AM,,,Immaculate Conception Parish,"Balibago, Angeles City, Pampanga"
2,4.0,7:00 AM - 8:00 AM,,,Immaculate Conception Parish,"Balibago, Angeles City, Pampanga"
3,3.0,7:00 AM - 8:00 AM,,,Immaculate Conception Parish,"Balibago, Angeles City, Pampanga"
4,2.0,7:00 AM - 8:00 AM,,,Immaculate Conception Parish,"Balibago, Angeles City, Pampanga"
5,1.0,7:00 AM - 8:00 AM,,,Immaculate Conception Parish,"Balibago, Angeles City, Pampanga"
6,0.0,7:00 AM - 08:00 AM,,,Immaculate Conception Parish,"Balibago, Angeles City, Pampanga"
7,6.0,8:30 AM - 9:30 AM,English,,Immaculate Conception Parish,"Balibago, Angeles City, Pampanga"
8,0.0,5:30 PM - 06:30 PM,,Anticipated Mass,Immaculate Conception Parish,"Balibago, Angeles City, Pampanga"
9,6.0,10:00 AM - 11:00 AM,English,,Immaculate Conception Parish,"Balibago, Angeles City, Pampanga"
10,6.0,3:00 PM - 4:00 PM,English,,Immaculate Conception Parish,"Balibago, Angeles City, Pampanga"
11,6.0,4:30 PM - 5:30 PM,Filipino,,Immaculate Conception Parish,"Balibago, Angeles City, Pampanga"
12,6.0,6:00 PM - 7:00 PM,English,,Immaculate Conception Parish,"Balibago, Angeles City, Pampanga"
13,6.0,7:30 PM - 8:30 PM,English,,Immaculate Conception Parish,"Balibago, Angeles City, Pampanga"
0,6.0,6:00 AM - 7:00 AM,,FB Live,Jesus The Eternal Word Parish,"Riverside Subdivision, Friendship, Brgy. Anunas, Angeles City, Pampanga"
1,4.0,6:00 PM - 7:00 PM,,FB Live,Jesus The Eternal Word Parish,"Riverside Subdivision, Friendship, Brgy. Anunas, Angeles City, Pampanga"
2,3.0,6:00 PM - 7:00 PM,,FB Live,Jesus The Eternal Word Parish,"Riverside Subdivision, Friendship, Brgy. Anunas, Angeles City, Pampanga"
3,2.0,6:00 PM - 7:00 PM,,FB Live,Jesus The Eternal Word Parish,"Riverside Subdivision, Friendship, Brgy. Anunas, Angeles City, Pampanga"
4,1.0,6:00 PM - 7:00 PM,,FB Live,Jesus The Eternal Word Parish,"Riverside Subdivision, Friendship, Brgy. Anunas, Angeles City, Pampanga"
5,6.0,7:00 PM - 8:00 PM,,,Jesus The Eternal Word Parish,"Riverside Subdivision, Friendship, Brgy. Anunas, Angeles City, Pampanga"
0,6.0,6:30 AM - 7:30 AM,Kapampangan,,Our Lady Of Fatima Parish,"Hensonville, Angeles City, Pampanga"
1,3.0,7:00 AM - 8:00 AM,,,Our Lady Of Fatima Parish,"Hensonville, Angeles City, Pampanga"
2,1.0,7:00 AM - 8:00 AM,,,Our Lady Of Fatima Parish,"Hensonville, Angeles City, Pampanga"
3,0.0,7:00 AM - 08:00 AM,,,Our Lady Of Fatima Parish,"Hensonville, Angeles City, Pampanga"
4,6.0,8:30 AM - 9:30 AM,English,,Our Lady Of Fatima Parish,"Hensonville, Angeles City, Pampanga"
5,6.0,4:30 PM - 5:30 PM,Tagalog,,Our Lady Of Fatima Parish,"Hensonville, Angeles City, Pampanga"
0,6.0,6:00 AM - 7:00 AM,Kapampangan,Facebook Live,Our Lady of Lourdes Parish,"Lourdes Sur East, Angeles City, Pampanga"
1,3.0,6:30 AM - 7:30 AM,Kapampangan,,Our Lady of Lourdes Parish,"Lourdes Sur East, Angeles City, Pampanga"
2,2.0,6:30 AM - 7:30 AM,Kapampangan,,Our Lady of Lourdes Parish,"Lourdes Sur East, Angeles City, Pampanga"
3,1.0,6:30 AM - 7:30 AM,Kapampangan,,Our Lady of Lourdes Parish,"Lourdes Sur East, Angeles City, Pampanga"
4,0.0,6:30 AM - 07:30 AM,Kapampangan,,Our Lady of Lourdes Parish,"Lourdes Sur East, Angeles City, Pampanga"
5,6.0,9:00 AM - 10:00 AM,English,Facebook Live,Our Lady of Lourdes Parish,"Lourdes Sur East, Angeles City, Pampanga"
6,0.0,5:00 PM - 06:00 PM,Kapampangan,Anticipated Mass,Our Lady of Lourdes Parish,"Lourdes Sur East, Angeles City, Pampanga"
7,6.0,5:00 PM - 6:00 PM,Kapampangan,,Our Lady of Lourdes Parish,"Lourdes Sur East, Angeles City, Pampanga"
0,6.0,10:00 AM - 11:00 AM,,,Our Lady of Perpetual Help Chapel,"3rd Level, MarQuee Mall, Angeles City, Pampanga"
1,0.0,5:30 PM - 06:30 PM,,Anticipated Mass,Our Lady of Perpetual Help Chapel,"3rd Level, MarQuee Mall, Angeles City, Pampanga"
0,6.0,7:30 AM - 8:30 AM,,,Our Lady of Remedies Chapel,"Air Force City, Clark Air Base, Angeles City, Pampanga"
1,6.0,9:00 AM - 10:00 AM,,,Our Lady of Remedies Chapel,"Air Force City, Clark Air Base, Angeles City, Pampanga"
2,6.0,5:00 PM - 6:00 PM,,,Our Lady of Remedies Chapel,"Air Force City, Clark Air Base, Angeles City, Pampanga"
0,6.0,7:00 AM - 8:00 AM,,,The Lord's Transfiguration Parish,"L & S Subdivision, Angeles City, Pampanga"
1,5.0,7:00 AM - 8:00 AM,,,The Lord's Transfiguration Parish,"L & S Subdivision, Angeles City, Pampanga"
2,4.0,7:00 AM - 8:00 AM,,,The Lord's Transfiguration Parish,"L & S Subdivision, Angeles City, Pampanga"
3,3.0,7:00 AM - 8:00 AM,,,The Lord's Transfiguration Parish,"L & S Subdivision, Angeles City, Pampanga"
4,2.0,7:00 AM - 8:00 AM,,,The Lord's Transfiguration Parish,"L & S Subdivision, Angeles City, Pampanga"
5,1.0,7:00 AM - 8:00 AM,,,The Lord's Transfiguration Parish,"L & S Subdivision, Angeles City, Pampanga"
6,0.0,7:00 AM - 08:00 AM,,,The Lord's Transfiguration Parish,"L & S Subdivision, Angeles City, Pampanga"
7,6.0,9:30 AM - 10:30 AM,,,The Lord's Transfiguration Parish,"L & S Subdivision, Angeles City, Pampanga"
0,6.0,6:00 AM - 7:00 AM,,,Blessed Mother and St. John the Evangelist Churh,"Gardenville Subd., Bacolod City, Negros Occidental"
1,5.0,6:00 AM - 7:00 AM,,,Blessed Mother and St. John the Evangelist Churh,"Gardenville Subd., Bacolod City, Negros Occidental"
2,4.0,6:00 PM - 7:00 PM,,,Blessed Mother and St. John the Evangelist Churh,"Gardenville Subd., Bacolod City, Negros Occidental"
3,3.0,6:00 AM - 7:00 AM,,,Blessed Mother and St. John the Evangelist Churh,"Gardenville Subd., Bacolod City, Negros Occidental"
4,2.0,6:00 PM - 7:00 PM,,,Blessed Mother and St. John the Evangelist Churh,"Gardenville Subd., Bacolod City, Negros Occidental"
5,1.0,6:00 AM - 7:00 AM,,,Blessed Mother and St. John the Evangelist Churh,"Gardenville Subd., Bacolod City, Negros Occidental"
6,0.0,5:00 AM - 06:00 AM,,1ST SAT: DAWN PROCESSION,Blessed Mother and St. John the Evangelist Churh,"Gardenville Subd., Bacolod City, Negros Occidental"
7,6.0,8:00 AM - 9:00 AM,,,Blessed Mother and St. John the Evangelist Churh,"Gardenville Subd., Bacolod City, Negros Occidental"
8,0.0,6:00 AM - 07:00 AM,,,Blessed Mother and St. John the Evangelist Churh,"Gardenville Subd., Bacolod City, Negros Occidental"
9,0.0,5:30 PM - 06:30 PM,,Anticipated Mass,Blessed Mother and St. John the Evangelist Churh,"Gardenville Subd., Bacolod City, Negros Occidental"
0,6.0,9:00 AM - 10:00 AM,,,Holy Family Parish,"City Heights Subd., Bacolod City, Negros Occidental"
1,5.0,6:00 AM - 7:00 AM,,,Holy Family Parish,"City Heights Subd., Bacolod City, Negros Occidental"
2,4.0,6:00 AM - 7:00 AM,,,Holy Family Parish,"City Heights Subd., Bacolod City, Negros Occidental"
3,3.0,6:00 AM - 7:00 AM,,,Holy Family Parish,"City Heights Subd., Bacolod City, Negros Occidental"
4,2.0,6:00 AM - 7:00 AM,,,Holy Family Parish,"City Heights Subd., Bacolod City, Negros Occidental"
5,1.0,6:00 AM - 7:00 AM,,,Holy Family Parish,"City Heights Subd., Bacolod City, Negros Occidental"
6,0.0,6:00 AM - 07:00 AM,,,Holy Family Parish,"City Heights Subd., Bacolod City, Negros Occidental"
7,6.0,5:00 PM - 6:00 PM,,,Holy Family Parish,"City Heights Subd., Bacolod City, Negros Occidental"
8,0.0,5:00 PM - 06:00 PM,,Anticipated Mass,Holy Family Parish,"City Heights Subd., Bacolod City, Negros Occidental"
0,6.0,6:00 AM - 7:00 AM,,,Holy Family Parish,"Brgy. Handumanan, Bacolod City, Negros Occidental"
1,3.0,6:30 AM - 7:30 AM,,,Holy Family Parish,"Brgy. Handumanan, Bacolod City, Negros Occidental"
2,2.0,6:30 AM - 7:30 AM,,,Holy Family Parish,"Brgy. Handumanan, Bacolod City, Negros Occidental"
3,1.0,6:30 AM - 7:30 AM,,,Holy Family Parish,"Brgy. Handumanan, Bacolod City, Negros Occidental"
4,0.0,6:30 AM - 07:30 AM,,,Holy Family Parish,"Brgy. Handumanan, Bacolod City, Negros Occidental"
5,6.0,9:00 AM - 10:00 AM,,,Holy Family Parish,"Brgy. Handumanan, Bacolod City, Negros Occidental"
6,6.0,4:00 PM - 5:00 PM,,,Holy Family Parish,"Brgy. Handumanan, Bacolod City, Negros Occidental"
0,6.0,6:00 AM - 7:00 AM,,,Immaculate Conception Parish,"Villamonte, Bacolod City, Negros Occidental"
1,5.0,6:00 AM - 7:00 AM,,,Immaculate Conception Parish,"Villamonte, Bacolod City, Negros Occidental"
2,4.0,6:00 AM - 7:00 AM,,,Immaculate Conception Parish,"Villamonte, Bacolod City, Negros Occidental"
3,3.0,6:00 AM - 7:00 AM,,,Immaculate Conception Parish,"Villamonte, Bacolod City, Negros Occidental"
4,2.0,6:00 AM - 7:00 AM,,,Immaculate Conception Parish,"Villamonte, Bacolod City, Negros Occidental"
5,1.0,6:00 AM - 7:00 AM,,,Immaculate Conception Parish,"Villamonte, Bacolod City, Negros Occidental"
6,0.0,6:00 AM - 07:00 AM,,,Immaculate Conception Parish,"Villamonte, Bacolod City, Negros Occidental"
7,6.0,8:00 AM - 9:00 AM,,,Immaculate Conception Parish,"Villamonte, Bacolod City, Negros Occidental"
8,6.0,5:30 PM - 6:30 PM,,,Immaculate Conception Parish,"Villamonte, Bacolod City, Negros Occidental"
0,6.0,6:30 AM - 7:30 AM,,,Our Lady of Candles Parish,"Piña-Benares Sts., Capitol Heights, Bacolod City, Negros Occidental"
1,4.0,6:00 AM - 7:00 AM,,,Our Lady of Candles Parish,"Piña-Benares Sts., Capitol Heights, Bacolod City, Negros Occidental"
2,3.0,6:00 AM - 7:00 AM,,,Our Lady of Candles Parish,"Piña-Benares Sts., Capitol Heights, Bacolod City, Negros Occidental"
3,2.0,6:00 AM - 7:00 AM,,,Our Lady of Candles Parish,"Piña-Benares Sts., Capitol Heights, Bacolod City, Negros Occidental"
4,1.0,6:00 AM - 7:00 AM,,,Our Lady of Candles Parish,"Piña-Benares Sts., Capitol Heights, Bacolod City, Negros Occidental"
5,0.0,6:30 AM - 07:30 AM,,,Our Lady of Candles Parish,"Piña-Benares Sts., Capitol Heights, Bacolod City, Negros Occidental"
6,6.0,9:00 AM - 10:00 AM,,,Our Lady of Candles Parish,"Piña-Benares Sts., Capitol Heights, Bacolod City, Negros Occidental"
7,6.0,6:00 PM - 7:00 PM,,,Our Lady of Candles Parish,"Piña-Benares Sts., Capitol Heights, Bacolod City, Negros Occidental"
0,6.0,6:00 AM - 7:00 AM,,,Our Lady of Lourdes,"Brgy. Bata, Bacolod City, Negros Occidental"
1,5.0,6:30 AM - 7:30 AM,,,Our Lady of Lourdes,"Brgy. Bata, Bacolod City, Negros Occidental"
2,3.0,6:30 AM - 7:30 AM,,,Our Lady of Lourdes,"Brgy. Bata, Bacolod City, Negros Occidental"
3,2.0,6:30 AM - 7:30 AM,,,Our Lady of Lourdes,"Brgy. Bata, Bacolod City, Negros Occidental"
4,1.0,6:30 AM - 7:30 AM,,,Our Lady of Lourdes,"Brgy. Bata, Bacolod City, Negros Occidental"
5,0.0,6:30 AM - 07:30 AM,,,Our Lady of Lourdes,"Brgy. Bata, Bacolod City, Negros Occidental"
6,6.0,8:00 AM - 9:00 AM,,,Our Lady of Lourdes,"Brgy. Bata, Bacolod City, Negros Occidental"
7,6.0,5:00 PM - 6:00 AM,,,Our Lady of Lourdes,"Brgy. Bata, Bacolod City, Negros Occidental"
0,6.0,6:30 AM - 7:30 AM,,,Our Lady of Lourdes Parish,"Brgy. Granada, Bacolod City, Negros Occidental"
1,5.0,6:00 AM - 7:00 AM,,,Our Lady of Lourdes Parish,"Brgy. Granada, Bacolod City, Negros Occidental"
2,2.0,6:00 AM - 7:00 AM,,,Our Lady of Lourdes Parish,"Brgy. Granada, Bacolod City, Negros Occidental"
3,1.0,6:00 AM - 7:00 AM,,,Our Lady of Lourdes Parish,"Brgy. Granada, Bacolod City, Negros Occidental"
4,0.0,6:00 AM - 07:00 AM,,,Our Lady of Lourdes Parish,"Brgy. Granada, Bacolod City, Negros Occidental"
5,6.0,8:30 AM - 9:30 AM,,,Our Lady of Lourdes Parish,"Brgy. Granada, Bacolod City, Negros Occidental"
6,6.0,4:30 PM - 5:30 PM,,,Our Lady of Lourdes Parish,"Brgy. Granada, Bacolod City, Negros Occidental"
0,6.0,7:00 AM - 8:00 AM,,,Our Lady of Mt. Carmel Chapel,"Riverside Medical Center, Bacolod City, Negros Occidental"
1,5.0,7:00 AM - 8:00 AM,,,Our Lady of Mt. Carmel Chapel,"Riverside Medical Center, Bacolod City, Negros Occidental"
2,4.0,7:00 AM - 8:00 AM,,,Our Lady of Mt. Carmel Chapel,"Riverside Medical Center, Bacolod City, Negros Occidental"
3,3.0,7:00 AM - 8:00 AM,,,Our Lady of Mt. Carmel Chapel,"Riverside Medical Center, Bacolod City, Negros Occidental"
4,2.0,7:00 AM - 8:00 AM,,,Our Lady of Mt. Carmel Chapel,"Riverside Medical Center, Bacolod City, Negros Occidental"
5,1.0,7:00 AM - 8:00 AM,,,Our Lady of Mt. Carmel Chapel,"Riverside Medical Center, Bacolod City, Negros Occidental"
6,0.0,7:00 AM - 08:00 AM,,,Our Lady of Mt. Carmel Chapel,"Riverside Medical Center, Bacolod City, Negros Occidental"
7,6.0,5:30 PM - 6:30 PM,,,Our Lady of Mt. Carmel Chapel,"Riverside Medical Center, Bacolod City, Negros Occidental"
8,3.0,5:30 PM - 6:30 PM,,,Our Lady of Mt. Carmel Chapel,"Riverside Medical Center, Bacolod City, Negros Occidental"
9,1.0,5:30 PM - 6:30 PM,,,Our Lady of Mt. Carmel Chapel,"Riverside Medical Center, Bacolod City, Negros Occidental"
10,0.0,5:30 PM - 06:30 PM,,,Our Lady of Mt. Carmel Chapel,"Riverside Medical Center, Bacolod City, Negros Occidental"
0,6.0,7:00 AM - 8:00 AM,,,Our Lady of Peace and Good Voyage,"Airport Subd., Bacolod City, Negros Occidental"
1,5.0,6:00 AM - 7:00 AM,,,Our Lady of Peace and Good Voyage,"Airport Subd., Bacolod City, Negros Occidental"
2,4.0,6:00 AM - 7:00 AM,,,Our Lady of Peace and Good Voyage,"Airport Subd., Bacolod City, Negros Occidental"
3,3.0,6:00 AM - 7:00 AM,,,Our Lady of Peace and Good Voyage,"Airport Subd., Bacolod City, Negros Occidental"
4,2.0,6:00 AM - 7:00 AM,,,Our Lady of Peace and Good Voyage,"Airport Subd., Bacolod City, Negros Occidental"
5,1.0,6:00 AM - 7:00 AM,,,Our Lady of Peace and Good Voyage,"Airport Subd., Bacolod City, Negros Occidental"
6,0.0,6:00 AM - 07:00 AM,,,Our Lady of Peace and Good Voyage,"Airport Subd., Bacolod City, Negros Occidental"
7,6.0,10:00 AM - 11:00 AM,,,Our Lady of Peace and Good Voyage,"Airport Subd., Bacolod City, Negros Occidental"
8,6.0,5:30 PM - 6:30 PM,,,Our Lady of Peace and Good Voyage,"Airport Subd., Bacolod City, Negros Occidental"
0,6.0,8:00 AM - 9:00 AM,,,Our Lady of the Holy Rosary Chaplaincy,"Eroreco Subd., Bacolod City, Negros Occidental"
1,5.0,6:00 AM - 7:00 AM,,,Our Lady of the Holy Rosary Chaplaincy,"Eroreco Subd., Bacolod City, Negros Occidental"
2,4.0,6:00 AM - 7:00 AM,,,Our Lady of the Holy Rosary Chaplaincy,"Eroreco Subd., Bacolod City, Negros Occidental"
3,3.0,6:00 PM - 7:00 PM,,,Our Lady of the Holy Rosary Chaplaincy,"Eroreco Subd., Bacolod City, Negros Occidental"
4,2.0,6:00 AM - 7:00 AM,,,Our Lady of the Holy Rosary Chaplaincy,"Eroreco Subd., Bacolod City, Negros Occidental"
5,1.0,6:00 AM - 7:00 AM,,,Our Lady of the Holy Rosary Chaplaincy,"Eroreco Subd., Bacolod City, Negros Occidental"
6,0.0,6:00 AM - 07:00 AM,,,Our Lady of the Holy Rosary Chaplaincy,"Eroreco Subd., Bacolod City, Negros Occidental"
7,6.0,11:00 AM - 12:00 PM,,,Our Lady of the Holy Rosary Chaplaincy,"Eroreco Subd., Bacolod City, Negros Occidental"
8,0.0,6:00 PM - 07:00 PM,,Anticipated Mass,Our Lady of the Holy Rosary Chaplaincy,"Eroreco Subd., Bacolod City, Negros Occidental"
9,6.0,4:00 PM - 5:00 PM,,,Our Lady of the Holy Rosary Chaplaincy,"Eroreco Subd., Bacolod City, Negros Occidental"
0,6.0,9:00 AM - 10:00 AM,,,Our Lady Of The Miraculous Medal Chapel,"B.S Aquino Drive, Villamonte,The Doctors' Hospital Inc., Bacolod City, Negros Occidental"
1,5.0,8:30 AM - 9:30 AM,,,Our Lady Of The Miraculous Medal Chapel,"B.S Aquino Drive, Villamonte,The Doctors' Hospital Inc., Bacolod City, Negros Occidental"
2,4.0,8:30 AM - 9:30 AM,,,Our Lady Of The Miraculous Medal Chapel,"B.S Aquino Drive, Villamonte,The Doctors' Hospital Inc., Bacolod City, Negros Occidental"
3,3.0,8:30 AM - 9:30 AM,,,Our Lady Of The Miraculous Medal Chapel,"B.S Aquino Drive, Villamonte,The Doctors' Hospital Inc., Bacolod City, Negros Occidental"
4,2.0,8:30 AM - 9:30 AM,,,Our Lady Of The Miraculous Medal Chapel,"B.S Aquino Drive, Villamonte,The Doctors' Hospital Inc., Bacolod City, Negros Occidental"
5,1.0,8:30 AM - 9:00 AM,,,Our Lady Of The Miraculous Medal Chapel,"B.S Aquino Drive, Villamonte,The Doctors' Hospital Inc., Bacolod City, Negros Occidental"
6,0.0,8:30 AM - 09:30 AM,,,Our Lady Of The Miraculous Medal Chapel,"B.S Aquino Drive, Villamonte,The Doctors' Hospital Inc., Bacolod City, Negros Occidental"
7,6.0,11:00 AM - 12:00 PM,,,Our Lady Of The Miraculous Medal Chapel,"B.S Aquino Drive, Villamonte,The Doctors' Hospital Inc., Bacolod City, Negros Occidental"
0,6.0,6:30 AM - 7:30 AM,,,Our Lady Of The Miraculous Medal Chaplaincy,"Homesite, Brgy. Montevista, Bacolod City, Negros Occidental"
1,5.0,6:15 AM - 7:15 AM,,,Our Lady Of The Miraculous Medal Chaplaincy,"Homesite, Brgy. Montevista, Bacolod City, Negros Occidental"
2,4.0,6:15 AM - 7:15 AM,,,Our Lady Of The Miraculous Medal Chaplaincy,"Homesite, Brgy. Montevista, Bacolod City, Negros Occidental"
3,3.0,5:15 PM - 6:15 PM,,,Our Lady Of The Miraculous Medal Chaplaincy,"Homesite, Brgy. Montevista, Bacolod City, Negros Occidental"
4,2.0,6:15 AM - 7:15 AM,,,Our Lady Of The Miraculous Medal Chaplaincy,"Homesite, Brgy. Montevista, Bacolod City, Negros Occidental"
5,1.0,6:15 AM - 7:15 AM,,,Our Lady Of The Miraculous Medal Chaplaincy,"Homesite, Brgy. Montevista, Bacolod City, Negros Occidental"
6,0.0,6:15 AM - 07:15 AM,,,Our Lady Of The Miraculous Medal Chaplaincy,"Homesite, Brgy. Montevista, Bacolod City, Negros Occidental"
7,6.0,10:00 AM - 11:00 AM,,,Our Lady Of The Miraculous Medal Chaplaincy,"Homesite, Brgy. Montevista, Bacolod City, Negros Occidental"
8,6.0,5:00 PM - 6:00 PM,Hiligaynon,,Our Lady Of The Miraculous Medal Chaplaincy,"Homesite, Brgy. Montevista, Bacolod City, Negros Occidental"
0,6.0,6:00 AM - 7:00 AM,Hiligaynon,,Our Lady of the Miraculous Medal Parish and Shrine,"Brgy. Mansilingan, Bacolod City, Negros Occidental"
